code,ko_name,en_name,description,page
MAT1001,미분적분학과벡터해석,"(1) Calculus and Vector Analysis (1) ,","실수의 집합 함수와 함수의 극한 도함수 함수의 연속성 미분법 미분의 응용 적분 적분법 적분의 응용 극좌표 무한 급수와 수렴성 함수의 전개 등 일변수 함수의 미분 적분에 관한 여러 가지 기본 개념과 응용성을 이해한다 , , , , , , , , , ,",133
MAT1002,미분적분학과벡터해석,"(2) Calculus and Vector Analysis (2) , , , ,"선형벡터 공간 행렬식 편도함수 중적분 중적분의 응용 벡터의 미분 다변수 함수 선적분 면적분 정리 , , , , , Gauss , , Green 의 정리 , Stokes 의정리 등을 이해한다 .",133
MAT1016 미분적분학과벡터해석 심화(,)(1) Calculus and Vector Analysis (Advanced) (1),,"일반반과 비슷한 주제를 다루나 수학적으로 엄밀한 접근법을 사용하며 특히 실수 체계의 정의와 극한의 개념간의 연관성을 강조하고 등장하는 모든 정리를 증명하며 대수 수론 실 해석 및 복소 해석학의 수학적 기반을 마련한다 . , , ,",133
MAT1017 미분적분학과벡터해석 심화(,)(2) Calculus and Vector Analysis (Advanced) (2),,"일반반과 비슷한 주제를 다루나 수학적으로 엄밀한 접근법을 사용하며 특히 선형대수의 기초 개념을 이용하여 임의 차원의 유클리드 공간 상 미분적분과 스톡스 정리를 다루고 기하 및 위상수학 이해의 기반을 마련한다 , .",133
MAT2001,"(1) Advanced Calculus (1) 일계및고계 상미분방정식의 이론및 수치해 진동운동 연립선형미분방정식에 관한 초기값문제 역학계 , , Bessel",,"고등미적분학 , 방정식 , Legendre 방정식 벡터 와 벡터공간 벡터함수의 미분 , , , Laplace 변환과 응용 ,",133
"MAT2002 ,","고등미적분학 , ,",(2) Advanced Calculus (2),"모델링 파동방정식 열전도 방정식의 경계값 문제와 복소평면위의선적분 등각사상 , Laplace 방정식 ) Fourier 급수 복소변수와 응용 , (Cauchy Riemann 방정식 ,",133
PHY1001,일반물리학및실험,(1) General Physics and Laboratory (1),"자연과학의 기반이 되는 힘과 운동 에너지 운동량 파동 열역학에 대한 기초적 지식 습득을 통하여 해당 전공분야에 대한 물리학적 토대를 쌓는다. , , , ,",133
PHY1002,일반물리학및실험 자연과학의 기반이 되는 전기 및 자기 해당 전공분야에 대한 물리학적 토대를 쌓는다.,(2) General Physics and Laboratory (2),", Maxwell 방정식 전자기파 빛과 파동 상대성 이론에 대한 기초적 지식 습득을 통하여 , , ,",133
PHY1003,) General Physics and Laboratory (Advanced) (1) 일반물리학및실험 일반반과 유사한 주제를 다루지만 보다 높은 수준의 수리적 및 물리적 엄밀성을 통하여 역학 열역학에,,"일반물리학및실험 심화 (1)( (1) , 132 ■ 2025 연세대학교 대학요람",133
PHY1004,) General Physics and Laboratory (Advanced) (2) 일반물리학및실험 일반반과 유사한 주제를 다루지만 보다 높은 수준의 수리적 및 물리적 엄밀성을 통하여 역학 열역학 및 전자기학에 대한 심도있는 내용을 다룬다.,,"일반물리학및실험 심화 (2)( (2) ,",134
CHE1001,일반화학및실험,(1) General Chemistry and Laboratory (1),물질의 근본구성요소인 원자와 분자의 미시적 구조를 소개하고 물질의 기본이 되는 화학결합 및 물질의 특성에 대하여 논의한다. 이를 바탕으로 해당 전공분야에 관련된 화학적 기초지식을 강의한다.,134
